Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
306,0.306,115.6749868,100.314889,121.1219824,100.6504418,,1,0
307,0.307,131.211644,100.3659934,130.3902135,100.3493931,,0,1
308,0.308,114.3704792,99.72811371,110.286144,99.64664044,,0,1
309,0.309,114.2645537,99.5678261,112.6657993,99.51511526,,0,1
310,0.31,117.8764655,99.88017966,119.1267102,99.86066231,,0,1
311,0.311,131.0380644,100.6137323,130.0623794,100.6404945,,1,0
312,0.312,114.4517769,100.0221442,119.0136192,100.2111156,,1,0
313,0.313,122.8740856,99.8095293,122.1059719,99.79213435,,0,1
314,0.314,120.0612526,99.83943687,119.9004915,100.1372105,,1,0
315,0.315,122.4400071,100.0340459,125.3864628,99.72100252,,0,1
316,0.316,131.8743396,100.8336001,122.7275555,100.3184238,,0,1
317,0.317,120.8678561,100.1075818,124.1266101,100.2067407,,1,0
318,0.318,116.7240825,100.0031445,115.4092827,100.0108882,,1,0
319,0.319,124.3676091,100.3995994,120.1664062,100.2175994,,0,1
320,0.32,115.5610755,99.81013869,121.3468207,99.95419566,,1,0
321,0.321,121.9987542,100.1100221,117.396218,100.0656544,,0,1
322,0.322,121.6313814,99.89873812,123.259392,100.0511118,,1,0
323,0.323,116.6797333,99.65212425,115.0050799,99.52161421,,0,1
324,0.324,120.0941911,100.1293377,114.5218939,99.93471451,,0,1
325,0.325,120.7601606,99.85056016,116.7743697,99.62994591,,0,1
326,0.326,122.8609741,99.84212328,120.6554443,99.86668545,,1,0
327,0.327,127.4599925,100.2850831,134.9255941,100.5155552,,1,0
328,0.328,122.7164824,100.3104294,125.2716464,100.3643693,,1,0
329,0.329,120.0322627,99.94078355,117.7252574,99.66928071,,0,1
330,0.33,135.3988749,100.8235668,133.810335,100.8094305,,0,1
331,0.331,126.9093034,100.4089493,118.8645253,100.1992433,,0,1
332,0.332,119.1412,100.0805388,118.0007096,100.1046161,,1,0
333,0.333,121.4782888,99.98922885,120.0374719,100.1754108,,1,0
334,0.334,131.7047067,100.4789281,126.297156,100.2047482,,0,1
335,0.335,116.9687863,99.79738758,119.7153217,99.90431027,,1,0
336,0.336,121.4062772,100.3028916,116.4373146,100.137133,,0,1
337,0.337,114.6460999,99.36904447,113.9682648,99.35695243,,0,1
338,0.338,111.3749779,99.5302668,111.2679327,99.66454221,,1,0
339,0.339,122.2277459,100.1236854,129.9389284,100.4889179,,1,0
340,0.34,118.0063896,99.60063329,114.9209002,99.58199992,,0,1
341,0.341,114.2444902,100.1806534,123.3341421,100.2607118,,1,0
342,0.342,109.2041703,99.31047465,121.4543705,99.90904595,,1,0
343,0.343,130.0255599,100.619819,126.5629048,100.4809449,,0,1
344,0.344,121.1267158,100.1011523,120.4886775,99.99930185,,0,1
345,0.345,109.1803108,99.68363345,109.4642101,99.6955212,,1,0
346,0.346,117.4418869,99.80668832,112.3602735,99.54498752,,0,1
347,0.347,123.4420132,100.1301856,122.1914785,100.0362622,,0,1
348,0.348,130.181374,100.5716783,129.4841235,100.4710716,,0,1
349,0.349,129.8993234,100.5866694,124.4782121,100.0304921,,0,1
350,0.35,115.126314,99.68366793,118.7026803,99.91582532,,1,0
351,0.351,127.5940875,99.89570644,118.4239278,99.69404533,,0,1
352,0.352,120.1134063,99.80889743,119.717166,99.82858793,,1,0
353,0.353,109.3477906,99.77869526,111.2756429,99.86306606,,1,0
354,0.354,113.6141423,99.39184396,106.7231152,99.28132446,,0,1
355,0.355,110.7869358,99.7251264,118.8105506,100.0173219,,1,0
356,0.356,107.8634867,99.64895339,112.5917524,99.69754564,,1,0
357,0.357,124.7749312,99.95417975,123.2511265,99.79711432,,0,1
358,0.358,124.9243982,100.3090483,125.9438204,100.4287076,,1,0
359,0.359,116.2173341,99.90818874,122.6627123,99.91578307,,1,0
360,0.36,121.037085,99.79480884,117.0644418,99.66504017,,0,1
